"","resource","res.class","res.order","res.family","res.genus","res.species","consumer","con.class","con.order","con.family","con.genus","con.species","res.method","con.method","N.records","link.evidence","source.id"
"110","CPOM",NA,NA,NA,NA,NA,"Gammarus pulex","Crustacea","Amphipoda","Gammaridae","Gammarus","pulex","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"111","CPOM",NA,NA,NA,NA,NA,"Leuctra moselyi","Insecta","Plecoptera","Leuctridae","Leuctra","moselyi","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"112","CPOM",NA,NA,NA,NA,NA,"Mystacides","Insecta","Trichoptera","Leptoceridae","Mystacides","","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"113","CPOM",NA,NA,NA,NA,NA,"Tubificidae","Oligochaeta","Haplotaxida","Tubificidae","","","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"114","CPOM",NA,NA,NA,NA,NA,"Naididae","Oligochaeta","Haplotaxida","Naididae","","","exact","exact",8,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"115","CPOM",NA,NA,NA,NA,NA,"Sericostoma personatum","Insecta","Trichoptera","Sericostomatidae","Sericostoma","personatum","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"116","CPOM",NA,NA,NA,NA,NA,"Agapetus fuscipes","Insecta","Trichoptera","Glossosomatidae","Agapetus","fuscipes","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"117","CPOM",NA,NA,NA,NA,NA,"Ancylus fluviatalis","Gastropoda",NA,"Planorbidae","Ancylus","fluviatalis","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"118","CPOM",NA,NA,NA,NA,NA,"Limnius volckmari","Insecta","Coleoptera","Elmidae","Limnius","volckmari","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"120","CPOM",NA,NA,NA,NA,NA,"Elmis aenea","Insecta","Coleoptera","Elmidae","Elmis","aenea","exact","exact",3,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"124","CPOM",NA,NA,NA,NA,NA,"Lepidostoma hirtum","Insecta","Trichoptera","Lepidostomatidae","Lepidostoma","hirtum","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"125","CPOM",NA,NA,NA,NA,NA,"Caenis rivulorum","Insecta","Ephemeroptera","Caenidae","Caenis","rivulorum","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"127","CPOM",NA,NA,NA,NA,NA,"Baetis rhodani","Insecta","Ephemeroptera","Baetidae","Baetis","rhodani","exact","genus",6,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"128","FPOM",NA,NA,NA,NA,NA,"Leuctra nigra","Insecta","Plecoptera","Leuctridae","Leuctra","nigra","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"131","FPOM",NA,NA,NA,NA,NA,"Psychomyia pusilla","Insecta","Trichoptera","Psychomyiidae","Psychomyia","pusilla","exact","family",9,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"132","FPOM",NA,NA,NA,NA,NA,"Heptagenia sulphurea","Insecta","Ephemeroptera","Heptageniidae","Heptagenia","sulphurea","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"133","FPOM",NA,NA,NA,NA,NA,"Asellus aquaticus","Crustacea","Isopoda","Asellidae","Asellus","aquaticus","exact","exact",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"134","FPOM",NA,NA,NA,NA,NA,"Theodoxus fluviatalis","Gastropoda",NA,"Neritidae","Theodoxus","","exact","genus",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"136","FPOM",NA,NA,NA,NA,NA,"Erpobdella testacea","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","testacea","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"137","FPOM",NA,NA,NA,NA,NA,"Brachyptera risi","Insecta","Plecoptera","Taniopterygidae","Brachyptera","risi","exact","exact",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"138","FPOM",NA,NA,NA,NA,NA,"Polycentropus kingi","Insecta","Trichoptera","Polycentropodidae","Polycentropus","kingi","exact","genus",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"139","FPOM",NA,NA,NA,NA,NA,"Athripsodes","Insecta","Trichoptera","Leptoceridae","Athripsodes","","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"140","FPOM",NA,NA,NA,NA,NA,"Ondotocerum albicorne","Insecta","Trichoptera","Odontoceridae","Odontocerum","albicorne","exact","genus",1,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"141","FPOM",NA,NA,NA,NA,NA,"Ostracoda","Ostracoda","","","","","exact","exact",2,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"143","FPOM",NA,NA,NA,NA,NA,"Hydropsyche pellucidula","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","pellucidula","exact","genus",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"146","FPOM",NA,NA,NA,NA,NA,"Erpobdella octoculata","Clitellata","Hirudinida","Erpobdellidae","Erpobdella","octoculata","exact","exact",4,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
"147","FPOM",NA,NA,NA,NA,NA,"Baetis niger","Insecta","Ephemeroptera","Baetidae","Baetis","niger","exact","genus",7,"observed - feeding trial,observed - field; gut/stomach analysis; published account","11,15"
